id,name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general,index
1,Lake Hills Greenbelt,Puget Sound and Islands -- Seattle-Tacoma Area,"2.3 miles, roundtrip",50,330.0,3.67,Dogs allowed on leash,"Hike through a pastoral area first settled and farmed in the 1880s. Along the way, enjoy a dense grove of cedars, followed by close-up views of blueberry fields that still produce an annual crop. Circle Larsen Lake, and view a restored pioneer home. Optionally, extend your hike to view nearby Phantom Lake.",roundtrip,2.3,Puget Sound and Islands,0
1,Lake Hills Greenbelt,Puget Sound and Islands -- Seattle-Tacoma Area,"2.3 miles, roundtrip",50,330.0,3.67,Wildlife,"Hike through a pastoral area first settled and farmed in the 1880s. Along the way, enjoy a dense grove of cedars, followed by close-up views of blueberry fields that still produce an annual crop. Circle Larsen Lake, and view a restored pioneer home. Optionally, extend your hike to view nearby Phantom Lake.",roundtrip,2.3,Puget Sound and Islands,1
1,Lake Hills Greenbelt,Puget Sound and Islands -- Seattle-Tacoma Area,"2.3 miles, roundtrip",50,330.0,3.67,Good for kids,"Hike through a pastoral area first settled and farmed in the 1880s. Along the way, enjoy a dense grove of cedars, followed by close-up views of blueberry fields that still produce an annual crop. Circle Larsen Lake, and view a restored pioneer home. Optionally, extend your hike to view nearby Phantom Lake.",roundtrip,2.3,Puget Sound and Islands,2
1,Lake Hills Greenbelt,Puget Sound and Islands -- Seattle-Tacoma Area,"2.3 miles, roundtrip",50,330.0,3.67,Lakes,"Hike through a pastoral area first settled and farmed in the 1880s. Along the way, enjoy a dense grove of cedars, followed by close-up views of blueberry fields that still produce an annual crop. Circle Larsen Lake, and view a restored pioneer home. Optionally, extend your hike to view nearby Phantom Lake.",roundtrip,2.3,Puget Sound and Islands,3
1,Lake Hills Greenbelt,Puget Sound and Islands -- Seattle-Tacoma Area,"2.3 miles, roundtrip",50,330.0,3.67,Fall foliage,"Hike through a pastoral area first settled and farmed in the 1880s. Along the way, enjoy a dense grove of cedars, followed by close-up views of blueberry fields that still produce an annual crop. Circle Larsen Lake, and view a restored pioneer home. Optionally, extend your hike to view nearby Phantom Lake.",roundtrip,2.3,Puget Sound and Islands,4
2,Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,Ridges/passes,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region,5
2,Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,Dogs allowed on leash,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region,6
2,Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,Established campsites,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region,7
2,Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,Mountain views,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region,8
2,Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,Old growth,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region,9
2,Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,Waterfalls,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region,10
2,Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,Good for kids,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region,11
2,Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,Lakes,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region,12
3,Skookum Flats,Mount Rainier Area -- Chinook Pass - Hwy 410,"7.8 miles, roundtrip",300,2550.0,3.68,Wildflowers/Meadows,Choose between a shorter or longer river walk through old-growth forest to a 250-foot cascading waterfall.,roundtrip,7.8,Mount Rainier Area,13
