,SCC,Data.Category,Short.Name,EI.Sector,Option.Group,Option.Set,SCC.Level.One,SCC.Level.Two,SCC.Level.Three,SCC.Level.Four,Map.To,Last.Inventory.Year,Created_Date,Revised_Date,Usage.Notes
0,10100101,Point,Ext Comb /Electric Gen /Anthracite Coal /Pulverized Coal,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Anthracite Coal,Pulverized Coal,,,,,
1,10100102,Point,Ext Comb /Electric Gen /Anthracite Coal /Traveling Grate (Overfeed) Stoker,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Anthracite Coal,Traveling Grate (Overfeed) Stoker,,,,,
2,10100201,Point,Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Wet Bottom,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Pulverized Coal: Wet Bottom (Bituminous Coal),,,,,
3,10100202,Point,Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Pulverized Coal: Dry Bottom (Bituminous Coal),,,,,
4,10100203,Point,Ext Comb /Electric Gen /Bituminous Coal /Cyclone Furnace,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Cyclone Furnace (Bituminous Coal),,,,,
5,10100204,Point,Ext Comb /Electric Gen /Bituminous Coal /Spreader Stoker,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Spreader Stoker (Bituminous Coal),,,,,
6,10100205,Point,Ext Comb /Electric Gen /Bituminous Coal /Traveling Grate (Overfeed) Stoker,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Traveling Grate (Overfeed) Stoker (Bituminous Coal),,,,,
7,10100211,Point,Ext Comb /Electric Gen /Bituminous Coal /Wet Bottom (Tangential),Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Wet Bottom (Tangential) (Bituminous Coal),,,,,
8,10100212,Point,Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom (Tangential),Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Pulverized Coal: Dry Bottom (Tangential) (Bituminous Coal),,,,,
9,10100215,Point,Ext Comb /Electric Gen /Bituminous Coal /Cell Burner,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Cell Burner (Bituminous Coal),,,,,
10,10100217,Point,Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal),,,,,
11,10100218,Point,Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal),,,,,
